year,title,journal,type,doi,featured
2026,A gene interaction network-based molecular taxonomy of dilated cardiomyopathy highlighting immune and inflammatory heterogeneity,Clinical and Experimental Medicine,Article,10.1007/s10238-026-02130-6,
2026,A Multimodal artificial intelligence framework for mechanistic discovery and digital twin construction in cardiovascular medicine,Current Proteomics,Article,10.1016/j.curpro.2025.100054,
2026,Allostatic load-cardiovascular disease associations and the mediating effect of inflammatory factors: a prospective cohort study,Frontiers in Cardiovascular Medicine,Article,10.3389/fcvm.2025.1724572,
2026,Aspirin after PCI in Acute Coronary Syndromes,The New-England Medical Review and Journal,Article,10.1056/nejmc2518964,
2026,Circadian Immunity and Vascular Inflammation in Cardiovascular Disease Chronotherapy Windows: Time for a Re-Assessment,Med Research,Article,10.1002/mdr2.70052,
2026,Combining Insulin Resistance and Renal Function to Predict Cardiovascular Events: A Multicenter Cohort Study,BIO Integration,Article,10.15212/bioi-2026-0017,
2026,From Disease-Specific Models to Broad Clinical Utility: A Perspective on AI Hybrid Ensemble Frameworks,Advanced Genetics,Article,10.1002/ggn2.202500053,
2026,PAPPA2 c.392G>C Heterozygous Mutation Associates Primary Open-Angle Glaucoma in a Chinese Family,Human Mutation,Article,10.1155/humu/5591097,
2026,Real-world safety of aliskiren in primary hypertension: A cross-database study,PLOS One,Article,10.1371/journal.pone.0346326,
2026,System biology analysis reveals circadian rhythm disorder associated with development and progression in colorectal cancer,npj Precision Oncology,Article,10.1038/s41698-026-01699-1,
2026,"Transforming Musculoskeletal Disorder Management With Multimodal AI Platform for Early Diagnosis, Self-Screening, and Personalized Care",Med Research,Article,10.1002/mdr2.70073,
2026,Vascular smooth muscle cell-derived KIF13B inhibits proinflammatory responses to protect against atherosclerosis,Journal of Clinical Investigation,Article,10.1172/jci194175,
2025,A Novel Disulfidptosis-Related Diagnostic Gene Signature and Differential Expression Validation in Ischaemic Cardiomyopathy,Journal of Cellular and Molecular Medicine,Article,10.1111/jcmm.70475,
2025,ABCA1 acts as a protective modulator in amyotrophic lateral sclerosis,iScience,Article,10.1016/j.isci.2025.114320,
2025,ABCA1 Acts as a Protective Modulator in Amyotrophic Lateral Sclerosis and Links to Metabolic Status,Preprint,Preprint,10.2139/ssrn.5292589,
2025,Association between higher estimated glucose disposal rate and reduced prevalence of hyperuricemia and gout,Frontiers in Nutrition,Article,10.3389/fnut.2025.1658286,
2025,"Association between sleep duration, sleep trouble and all-cause mortality in individuals with hyperuricemia in the United States",Frontiers in Public Health,Article,10.3389/fpubh.2025.1521372,
2025,"Current status, hotspots, and trends in cancer prevention, screening, diagnosis, treatment, and rehabilitation: A bibliometric analysis",Oncology Research,Article,10.32604/or.2025.059290,
2025,Deciphering the Proteomic Landscape of Circulating Extracellular Vesicles in Human Abdominal Aortic Aneurysm,Journal of Cellular and Molecular Medicine,Article,10.1111/jcmm.70725,
2025,Developing a LASSO Regression-Based Nomogram to Predict Outcomes in Abdominal Aortic Aneurysm Patients Post-Endovascular Aneurysm Repair,Clinical Interventions in Aging,Article,10.2147/cia.s493841,
2025,Endoscopic versus laparoscopic resection of gastrointestinal stromal tumors at the esophagogastric junction using propensity score matching analysis,Scientific Reports,Article,10.1038/s41598-025-98859-3,
2025,Identification of Cardiometabolic Protein Biomarkers for Acute Myocardial Infarction Using Olink Proteomics,Journal of Inflammation Research,Article,10.2147/jir.s495784,
2025,Integrated-omics analysis defines subtypes of hepatocellular carcinoma based on circadian rhythm,Journal of Integrative Medicine,Article,10.1016/j.joim.2025.06.003,
2025,Machine learning combined with omics-based approaches reveals T-lymphocyte cellular fate imbalance in abdominal aortic aneurysm,BMC Biology,Article,10.1186/s12915-025-02400-x,
2025,Mapping heterogeneous molecular subtypes of circadian misalignment underlying lung adenocarcinoma risk,Life Conflux,Article,10.71321/fy14v342,
2025,Modeling Diabetic Cardiomyopathy Using Human Cardiac Organoids: Effects of High Glucose and Lipid Conditions,Chemico-Biological Interactions,Article,10.1016/j.cbi.2025.111421,
2025,Novel post-translational modification learning signature reveals B4GALT2 as an immune exclusion regulator in lung adenocarcinoma,Journal for ImmunoTherapy of Cancer,Article,10.1136/jitc-2024-010787,True
2025,Optimized Dynamic Network Biomarker Deciphers a High-Resolution Heterogeneity Within Thyroid Cancer Molecular Subtypes,Med Research,Article,10.1002/mdr2.70004,
2025,Reply to: Addressing Bias in Feature Importance: A Hybrid Approach for Risk Prediction in Prognostic Survival Models,JCO Precision Oncology,Article,10.1200/po-24-00875,
2025,Resolving tumor microenvironment heterogeneity to forecast immunotherapy response in triple-negative breast cancer through multi-scale analysis,Frontiers in Oncology,Article,10.3389/fonc.2025.1538574,
2025,"Space Dentistry Combined With Remote and AI Technologies, a Necessity for Long-Term Stays: Thoughts of US Astronauts' Unexpected Stay",Oral Diseases,Article,10.1111/odi.70054,
2025,Targeted Delivery of Exosome-Derived miRNA-185-5p Inhibitor via Liposomes Alleviates Apoptosis and Cuproptosis in Dilated Cardiomyopathy,International Journal of Nanomedicine,Article,10.2147/ijn.s522157,
2025,Targeting the NLRP3 inflammasome abrogates cardiotoxicity of immune checkpoint blockers,Journal for ImmunoTherapy of Cancer,Article,10.1136/jitc-2024-010127,True
2025,The macrophage-derived motor protein KIF13B enhances MERTK-mediated efferocytosis and prevents atherosclerosis in mice,European Heart Journal,Article,10.1093/eurheartj/ehaf523,
2024,Advancing predictive markers in lung adenocarcinoma: A machine learning-based immunotherapy prognostic prediction signature,Environmental Toxicology,Article,10.1002/tox.24284,
2024,AI hybrid survival assessment for advanced heart failure patients with renal dysfunction,Nature Communications,Article,10.1038/s41467-024-50415-9,True
2024,An assessment system for clinical and biological interpretability in ulcerative colitis,Aging,Article,10.18632/aging.205564,
2024,Artificial Intelligence Hybrid Survival Assessment System for Robot-Assisted Proctectomy: A Retrospective Cohort Study,JCO Precision Oncology,Article,10.1200/po.24.00089,
2024,Assessing personalized molecular portraits underlying endothelial-to-mesenchymal transition within pulmonary arterial hypertension,Molecular Medicine,Article,10.1186/s10020-024-00963-z,
2024,Associations Between Cardiovascular Health (Life's Essential 8) and Mental Disorders,Clinical Cardiology,Article,10.1002/clc.70019,
2024,Associations between magnesium depletion score and depression among individuals aged 20 to 60 years,Journal of Trace Elements in Medicine and Biology,Article,10.1016/j.jtemb.2024.127543,
2024,Causal Associations Between the Gut Microbiome and Aortic Aneurysm: A Mendelian Randomization Study,Cardiovascular Innovations and Applications,Article,10.15212/cvia.2024.0023,
2024,Deciphering lung adenocarcinoma evolution: Integrative single-cell genomics identifies the prognostic lung progression associated signature,Journal of Cellular and Molecular Medicine,Article,10.1111/jcmm.18408,
2024,Deciphering the prognostic role of endoplasmic reticulum stress in lung adenocarcinoma: integrating prognostic prediction and immunotherapy strategies,Clinical and Experimental Medicine,Article,10.1007/s10238-024-01439-4,
2024,Deciphering the tumor immune microenvironment from a multidimensional omics perspective: insight into next-generation CAR-T cell immunotherapy and beyond,Molecular Cancer,Article,10.1186/s12943-024-02047-2,True
2024,Differential Expression Spectrum of circRNA in Plasma Exosomes in Dilated Cardiomyopathy With Heart Failure,Journal of Cellular and Molecular Medicine,Article,10.1111/jcmm.70258,
2024,Emerging role of immunogenic cell death in cancer immunotherapy: Advancing next-generation CAR-T cell immunotherapy by combination,Cancer Letters,Article,10.1016/j.canlet.2024.217079,True
2024,Exploring the diagnostic and immune infiltration roles of disulfidptosis related genes in pulmonary hypertension,Respiratory Research,Article,10.1186/s12931-024-02978-w,
2024,Identification of diagnostic signature and immune infiltration for ischemic cardiomyopathy based on cuproptosis-related genes through bioinformatics analysis and experimental validation,International Immunopharmacology,Article,10.1016/j.intimp.2024.112574,
2024,Identification of potential biomarkers for lung adenocarcinoma: a study based on bioinformatics analysis combined with validation experiments,Frontiers in Oncology,Article,10.3389/fonc.2024.1425895,
2024,Integrated multi-omics analysis revealed the molecular networks and potential targets of cellular senescence in Alzheimer’s disease,Human Molecular Genetics,Article,10.1093/hmg/ddae189,
2024,Machine Learning Approaches for Predicting Frailty Base on Multimorbidities in US Adults Using NHANES Data (1999-2018),Computer Methods and Programs in Biomedicine Update,Article,10.1016/j.cmpbup.2024.100164,
2024,Molecular subtypes of ischemic heart disease based on circadian rhythm,Scientific Reports,Article,10.1038/s41598-024-65236-5,True
2024,N7-methyladenosine-induced SLC7A7 serves as a prognostic biomarker in pan-cancer and promotes CRC progression in colorectal cancer,Scientific Reports,Article,10.1038/s41598-024-80885-2,
2024,Omics-based molecular classifications empowering in precision oncology,Cellular Oncology,Article,10.1007/s13402-023-00912-8,
2024,Optimal Management Options for Esophageal Gastrointestinal Stromal Tumors (E-GIST),European Journal of Surgical Oncology,Article,10.1016/j.ejso.2024.108527,
2024,Plasma Olink Proteomics Reveals Novel Biomarkers for Prediction and Diagnosis in Dilated Cardiomyopathy with Heart Failure,Journal of Proteome Research,Article,10.1021/acs.jproteome.4c00522,True
2024,Proteomics appending a complementary dimension to precision oncotherapy,Computational and Structural Biotechnology Journal,Article,10.1016/j.csbj.2024.04.044,
2024,Quantifying Personalized Shift-Work Molecular Portraits Underlying Alzheimer's Disease through Computational Biology,The Journal of Prevention of Alzheimer's Disease,Article,10.14283/jpad.2024.161,
2024,The underlying mechanism of chimeric antigen receptor (CAR)-T cell therapy triggering secondary T-cell cancers: Mystery of the Sphinx?,Cancer Letters,Article,10.1016/j.canlet.2024.217083,
2024,Transition from Sleeve Lobectomy to Lobectomy after Effective Chemoimmunotherapy in Central-Type NSCLC: A Multicenter Retrospective Study,Preprint,Preprint,10.2139/ssrn.4857099,
2024,TYG Index as a Novel Predictor of Clinical Outcomes in Advanced Chronic Heart Failure with Renal Dysfunction Patients,Clinical Interventions in Aging,Article,10.2147/cia.s462542,
2023,Application of reagent for detecting and/or regulating FOSB gene in preparation of product for predicting and/or targeting abdominal aortic aneurysm,Patent,Patent,,
2023,Artificial Intelligence-Powered Comprehensive Framework Develops a Survival Assessment System by Multicenter Integration for Advanced Heart Failure with Renal Dysfunction,Preprint,Preprint,10.2139/ssrn.4391582,
2023,Atherosclerotic plaque vulnerability quantification system for clinical and biological interpretability,iScience,Article,10.1016/j.isci.2023.107587,True
2023,Biodegradable Mg alloy modified with bioactive exosomes for cardiovascular stent application,Journal of Magnesium and Alloys,Article,10.1016/j.jma.2023.05.007,
2023,Differential expression profiles of plasma exosomal microRNAs in dilated cardiomyopathy with chronic heart failure,Journal of Cellular and Molecular Medicine,Article,10.1111/jcmm.17789,
2023,Idebenone attenuates ferroptosis by inhibiting excessive autophagy via the ROS-AMPK-mTOR pathway to preserve cardiac function after myocardial infarction,European Journal of Pharmacology,Article,10.1016/j.ejphar.2023.175569,True
2023,"Three-dimensional bioprinting of artificial blood vessel: Process, bioinks, and challenges",International Journal of Bioprinting,Article,10.18063/ijb.740,
2022,Smooth muscle cell fate decisions decipher a high-resolution heterogeneity within atherosclerosis molecular subtypes,Journal of Translational Medicine,Article,10.1186/s12967-022-03795-9,True
2022,Uncovering the Genetic Links of SARS-CoV-2 Infections on Heart Failure Co-Morbidity by a Systems Biology Approach,ESC Heart Failure,Article,10.1002/ehf2.14003,
2021,Efficacy and Safety of Apatinib Treatment for Advanced Cholangiocarcinoma After Failed Gemcitabine-Based Chemotherapy: An Open-Label Phase II Prospective Study,Frontiers in Oncology,Article,10.3389/fonc.2021.659217,
2020,Culture methods of inducing embryonic stem cells to differentiate into retinal pigment epithelial cells,International Journal of Ophthalmology,Article,10.3980/j.issn.1672-5123.2020.12.13,
